Name                                          Stmts   Miss  Cover
-----------------------------------------------------------------
api\__init__.py                                   0      0   100%
api\_helpers.py                                  18      4    78%
api\access_control.py                            69      6    91%
api\admin\__init__.py                             0      0   100%
api\admin\router.py                             165     41    75%
api\aigenis\__init__.py                         168      6    96%
api\aigenis\audit.py                             24      0   100%
api\aigenis\security.py                          90     16    82%
api\analytics\__init__.py                         5      0   100%
api\analytics\_helpers.py                        25      0   100%
api\analytics\bonds.py                           26      3    88%
api\analytics\desk.py                            35      0   100%
api\analytics\insights.py                       102     16    84%
api\analytics\portfolio.py                      261     17    93%
api\auth\__init__.py                              0      0   100%
api\auth\deps.py                                 24      3    88%
api\auth\router.py                              152     46    70%
api\auth\schemas.py                              36      0   100%
api\auth\service.py                             160     23    86%
api\billing\__init__.py                           0      0   100%
api\billing\router.py                            98      0   100%
api\billing\schemas.py                           12      0   100%
api\billing\service.py                          263     48    82%
api\demo.py                                     518     77    85%
api\document_analysis.py                        115     26    77%
api\dto\__init__.py                               1      0   100%
api\dto\analytics.py                            125      0   100%
api\frontend.py                                  14      0   100%
api\i18n.py                                      19      1    95%
api\llm.py                                       29     22    24%
api\main.py                                     314     48    85%
api\news.py                                      99     75    24%
api\nlp.py                                      210    168    20%
api\notifications\__init__.py                     0      0   100%
api\notifications\email.py                       60     20    67%
api\notifications\reminders.py                   58      2    97%
api\partner\__init__.py                           0      0   100%
api\partner\router.py                           202     27    87%
api\partner\security.py                          54      4    93%
api\partner\webhooks.py                         137      4    97%
api\portfolio_api.py                            124      0   100%
api\pricing\__init__.py                          15      0   100%
api\pricing\router.py                            56     20    64%
api\reports.py                                   35      0   100%
api\seo\__init__.py                               5      0   100%
api\seo\_common.py                               78      9    88%
api\seo\calculator.py                           128     14    89%
api\seo\guides.py                                26      0   100%
api\seo\pages.py                                160     30    81%
api\seo\partners.py                             125     16    87%
api\services\__init__.py                          4      0   100%
api\services\bonds.py                            91     20    78%
api\services\desk.py                             95      1    99%
api\stocks.py                                   164      1    99%
api\widget.py                                    45     14    69%
desk\__init__.py                                  6      0   100%
desk\carry.py                                    38      2    95%
desk\cashflow.py                                 90      5    94%
desk\duration.py                                 95      4    96%
desk\models.py                                  117      0   100%
desk\relative_value.py                           64      3    95%
desk\repo.py                                     21      0   100%
desk\repository.py                               64      3    95%
desk\spreads.py                                  62      3    95%
desk\stress.py                                   53      0   100%
desk\yield_curve.py                              60      1    98%
desk\ytm.py                                      85     13    85%
forecast\__init__.py                              3      0   100%
forecast\engine.py                               55      0   100%
ml\__init__.py                                    5      0   100%
ml\engine.py                                    233     10    96%
ml\features.py                                  175     11    94%
ml\models.py                                     98      0   100%
ml\registry.py                                   91      8    91%
ml\repository.py                                 43      0   100%
monitoring\__init__.py                            3      0   100%
monitoring\engine.py                            171      0   100%
monitoring\metrics.py                            32      0   100%
notifications\__init__.py                         3      0   100%
notifications\alerts_repository.py               38      0   100%
notifications\alerts_service.py                  76      9    88%
notifications\delivery.py                        33      6    82%
notifications\fx_repository.py                   23      0   100%
notifications\repository.py                      27      3    89%
portfolio\__init__.py                             4      0   100%
portfolio\backtest.py                           173      4    98%
portfolio\income.py                             106      1    99%
portfolio\optimizer.py                          152      7    95%
portfolio\pnl.py                                162      2    99%
portfolio\positions_repository.py                43      0   100%
portfolio\rebalance.py                           66      8    88%
portfolio\scenarios.py                           26      0   100%
portfolio\transactions.py                        33      0   100%
recommendations\__init__.py                       3      0   100%
recommendations\engine.py                       101      9    91%
scoring\__init__.py                               5      0   100%
scoring\data_quality.py                         113      0   100%
scoring\disclaimer.py                             5      0   100%
scoring\engine.py                               292     15    95%
scoring\explain.py                              141      0   100%
scoring\models.py                                97      0   100%
scoring\repository.py                            56      9    84%
scraper\__init__.py                               2      0   100%
scraper\__main__.py                             167      0   100%
scraper\api\__init__.py                           2      0   100%
scraper\api\detail.py                             2      0   100%
scraper\api\history.py                            2      0   100%
scraper\api\listing.py                            2      0   100%
scraper\client.py                                 2      0   100%
scraper\commands.py                              21      0   100%
scraper\commands_v3.py                           96      0   100%
scraper\commands_v4.py                           96      0   100%
scraper\config.py                               199      0   100%
scraper\db.py                                   144      0   100%
scraper\errors.py                                21      0   100%
scraper\fallback_source.py                       75      0   100%
scraper\fx.py                                    77      0   100%
scraper\health.py                                25      0   100%
scraper\instrument_map.py                        81      0   100%
scraper\job_runs.py                              50      0   100%
scraper\lineage.py                               17      0   100%
scraper\logging.py                               45      0   100%
scraper\models.py                               316      0   100%
scraper\moex.py                                 250      0   100%
scraper\moex_stocks.py                          155      0   100%
scraper\observability.py                         20      0   100%
scraper\orm\__init__.py                          14      0   100%
scraper\orm\_base.py                              4      0   100%
scraper\orm\bonds.py                             88      0   100%
scraper\orm\desk.py                              92      0   100%
scraper\orm\documents.py                         17      0   100%
scraper\orm\integration.py                       32      0   100%
scraper\orm\jobs.py                              15      0   100%
scraper\orm\markets.py                           20      0   100%
scraper\orm\ml.py                                44      0   100%
scraper\orm\partner.py                           58      0   100%
scraper\orm\portfolio.py                         71      0   100%
scraper\orm\stocks.py                            48      0   100%
scraper\orm\users.py                            100      0   100%
scraper\parsers\__init__.py                       0      0   100%
scraper\parsers\detail.py                         2      0   100%
scraper\parsers\history.py                        2      0   100%
scraper\parsers\listing.py                        2      0   100%
scraper\parsers\xlsx.py                         249      0   100%
scraper\pipeline.py                             544     15    97%
scraper\providers\__init__.py                    30      0   100%
scraper\providers\aigenis_official.py            19      0   100%
scraper\providers\demo.py                        26      0   100%
scraper\providers\moex.py                        17      0   100%
scraper\providers\registry.py                    30      0   100%
scraper\repositories\__init__.py                  2      0   100%
scraper\repositories\bonds.py                    70      0   100%
scraper\repositories\history.py                  39      0   100%
scraper\repositories\instruments.py              45      0   100%
scraper\repositories\stocks.py                   50      0   100%
scraper\scheduler.py                            210      0   100%
scraper\scheduler_v3.py                          29      0   100%
scraper\scheduler_v4.py                          35      0   100%
scraper\sources\__init__.py                       0      0   100%
scraper\sources\aigenis\__init__.py               2      0   100%
scraper\sources\aigenis\api\__init__.py          73      2    97%
scraper\sources\aigenis\api\detail.py             8      0   100%
scraper\sources\aigenis\api\history.py           16      0   100%
scraper\sources\aigenis\api\listing.py           11      0   100%
